disease id,past medical history
04d4a4e9-f8c5-4516-87b3-61a6b409ea7e,前列腺切除术
214b4078-31e2-11e6-804e-848f69fd6b70,前列腺切除术
44227,双侧附睾切除术
12f18dce-31e0-11e6-804e-848f69fd6b70,甲状腺全切术
16673cb5-31e0-11e6-804e-848f69fd6b70,甲状腺全切术
39771,甲状腺全切术
39772,甲状腺全切术
40972,甲状腺全切术
42892,甲状腺全切术
40763,胃切除术|胃癌根治术
40769,胃切除术|胃癌根治术
40859,阑尾切除术
40860,阑尾切除术
41747,胃切除术|胃癌根治术
44307,阑尾切除术
1a599dcd-31e2-11e6-804e-848f69fd6b70,肾癌根治术|肾脏切除术
39583,膀胱切除术、输尿管腹壁造瘘术
39586,膀胱切除术
39635,肾癌根治术|肾脏切除术
39643,膀胱切除术
39644,膀胱切除术
39646,膀胱切除术
39681,肾癌根治术|肾脏切除术
39703,膀胱切除术
39788,肾癌根治术|肾脏切除术
41655,肾癌根治术|肾脏切除术
44464,睾丸切除术
38443,胆囊切除术
41842,胆囊切除术
41852,胆囊切除术
981295f6-31e1-11e6-804e-848f69fd6b70,胆囊切除术
98460929-31e1-11e6-804e-848f69fd6b70,胆囊切除术
2a4a752a-31e2-11e6-804e-848f69fd6b70,乳腺切除术|乳腺癌根治术
2a8e606a-31e2-11e6-804e-848f69fd6b70,乳腺切除术|乳腺癌根治术
2b5c73ac-31e2-11e6-804e-848f69fd6b70,乳腺切除术|乳腺癌根治术
41010,乳腺切除术|乳腺癌根治术
41023,乳腺切除术|乳腺癌根治术
44360,乳腺切除术|乳腺癌根治术
0373c1ac-31e3-11e6-804e-848f69fd6b70,肾癌根治术|肾脏切除术
0d0e29e9-31e2-11e6-804e-848f69fd6b70,肾癌根治术|肾脏切除术
0edc96ee-31e2-11e6-804e-848f69fd6b70,肾癌根治术|肾脏切除术
133c3635-31e2-11e6-804e-848f69fd6b70,肾癌根治术|肾脏切除术
14dcd023-31e2-11e6-804e-848f69fd6b70,肾癌根治术|肾脏切除术
39626,肾癌根治术|肾脏切除术
39662,肾癌根治术|肾脏切除术
41541,肾癌根治术|肾脏切除术
41544,肾癌根治术|肾脏切除术
41549,肾癌根治术|肾脏切除术
41565,肾癌根治术|肾脏切除术
41592,肾癌根治术|肾脏切除术
42060,肾癌根治术|肾脏切除术
118786A186ADFC4AE0500A0AC86471F9,双侧输卵管切除术
2c8a5375-31e2-11e6-804e-848f69fd6b70,双侧输卵管切除术
2e6a3a40-31e2-11e6-804e-848f69fd6b70,全子宫切除术
2ff504bf-31e2-11e6-804e-848f69fd6b70,全子宫切除术
37060,全子宫切除术|子宫次切术
37061,双侧卵巢切除术|全子宫切除术|子宫次切术
37062,双侧输卵管切除术|全子宫切除术|子宫次切术
37065,双侧输卵管切除术|全子宫切除术|子宫次切术
37066,全子宫切除术|子宫次切术
37d5336c-31e2-11e6-804e-848f69fd6b70,双侧卵巢切除术
38248,全子宫切除术|子宫次切术
38335,全子宫切除术|子宫次切术
38345,全子宫切除术
38351,双侧卵巢切除术
3be7c8f6-31e2-11e6-804e-848f69fd6b70,全子宫切除术
43107,双侧卵巢切除术
43290,全子宫切除术|子宫次切术
44251,全子宫切除术|子宫次切术
44267,全子宫切除术|子宫次切术
44317,双侧卵巢切除术
44357,全子宫切除术|子宫次切术
44390,全子宫切除术|子宫次切术
44429,全子宫切除术|子宫次切术
44478,全子宫切除术|子宫次切术
be318871-31df-11e6-804e-848f69fd6b70,全子宫切除术|子宫次切术
38422,胰腺切除术
41860,胰腺切除术
44421,胰腺切除术
